timestamp,container,cpu_perc,mem_mib
1769547404.5339081,alice,0.21,27.77
1769547404.5339081,bob,1.01,26.43
1769547404.5339081,carol,0.23,27.73
1769547404.5339081,dave,0.91,26.48
1769547404.5339081,orchestrator,0.00,17.21
1769547407.6161249,alice,0.18,27.71
1769547407.6161249,bob,1.32,26.68
1769547407.6161249,carol,0.24,27.88
1769547407.6161249,dave,1.32,26.71
1769547407.6161249,orchestrator,0.41,17.31
1769547410.7006316,alice,0.07,27.7
1769547410.7006316,bob,0.52,26.67
1769547410.7006316,carol,0.21,27.99
1769547410.7006316,dave,0.87,26.52
1769547410.7006316,orchestrator,0.00,17.33
1769547413.7813425,alice,0.14,27.88
1769547413.7813425,bob,0.90,26.73
1769547413.7813425,carol,0.18,28.01
1769547413.7813425,dave,0.98,26.4
1769547413.7813425,orchestrator,0.00,17.33
1769547416.8590486,alice,1.58,27.55
1769547416.8590486,bob,1.29,26.55
1769547416.8590486,carol,0.22,27.93
1769547416.8590486,dave,1.05,26.39
1769547416.8590486,orchestrator,0.00,17.28
1769547419.9388134,alice,0.20,27.77
1769547419.9388134,bob,1.03,26.69
1769547419.9388134,carol,0.53,28.16
1769547419.9388134,dave,0.87,26.66
1769547419.9388134,orchestrator,0.19,17.29
1769547423.0200377,alice,0.21,27.71
1769547423.0200377,bob,1.21,26.73
1769547423.0200377,carol,0.26,28.01
1769547423.0200377,dave,1.05,26.46
1769547423.0200377,orchestrator,0.00,17.28
1769547426.1039932,alice,0.21,27.9
1769547426.1039932,bob,0.94,26.7
1769547426.1039932,carol,0.15,28.06
1769547426.1039932,dave,0.82,26.71
1769547426.1039932,orchestrator,0.00,17.28
1769547429.180948,alice,0.13,27.62
1769547429.180948,bob,0.88,26.46
1769547429.180948,carol,0.14,28.08
1769547429.180948,dave,0.83,26.45
1769547429.180948,orchestrator,0.00,17.28
1769547432.263004,alice,0.32,27.64
1769547432.263004,bob,1.01,26.71
1769547432.263004,carol,0.35,28.16
1769547432.263004,dave,1.28,26.7
1769547432.263004,orchestrator,0.70,17.59
1769547435.344331,alice,0.16,27.63
1769547435.344331,bob,0.69,26.59
1769547435.344331,carol,0.15,27.98
1769547435.344331,dave,0.96,26.69
1769547435.344331,orchestrator,0.00,17.36
1769547438.4259074,alice,0.16,27.77
1769547438.4259074,bob,0.96,26.8
1769547438.4259074,carol,0.17,27.86
1769547438.4259074,dave,0.62,26.89
1769547438.4259074,orchestrator,0.00,17.36
1769547441.5095425,alice,0.22,27.93
1769547441.5095425,bob,1.91,26.96
1769547441.5095425,carol,0.12,27.79
1769547441.5095425,dave,0.70,26.45
1769547441.5095425,orchestrator,1.61,17.33
1769547444.5953472,alice,1.65,28.15
1769547444.5953472,bob,1.28,26.76
1769547444.5953472,carol,0.13,27.82
1769547444.5953472,dave,0.82,26.69
1769547444.5953472,orchestrator,0.00,17.32
1769547447.6769288,alice,0.25,27.97
1769547447.6769288,bob,1.00,26.56
1769547447.6769288,carol,0.09,27.88
1769547447.6769288,dave,1.02,26.49
1769547447.6769288,orchestrator,0.41,17.33
1769547450.7625546,alice,0.25,27.92
1769547450.7625546,bob,1.34,26.52
1769547450.7625546,carol,0.18,28.22
1769547450.7625546,dave,0.69,26.57
1769547450.7625546,orchestrator,0.00,17.33
1769547453.84222,alice,0.11,27.79
1769547453.84222,bob,0.73,26.51
1769547453.84222,carol,0.19,27.98
1769547453.84222,dave,1.04,26.98
1769547453.84222,orchestrator,0.00,17.33
1769547456.9298372,alice,0.22,27.99
1769547456.9298372,bob,0.96,26.57
1769547456.9298372,carol,0.18,27.83
1769547456.9298372,dave,0.95,26.75
1769547456.9298372,orchestrator,0.00,17.32
1769547460.0122137,alice,2.23,28.31
1769547460.0122137,bob,2.05,26.71
1769547460.0122137,carol,0.27,28
1769547460.0122137,dave,0.75,26.52
1769547460.0122137,orchestrator,2.10,17.34
1769547463.0923042,alice,0.24,27.91
1769547463.0923042,bob,1.22,26.79
1769547463.0923042,carol,2.19,27.87
1769547463.0923042,dave,2.38,27.01
1769547463.0923042,orchestrator,0.47,17.33
1769547466.1768904,alice,0.20,27.8
1769547466.1768904,bob,0.95,26.85
1769547466.1768904,carol,1.19,28.09
1769547466.1768904,dave,1.61,26.87
1769547466.1768904,orchestrator,0.18,17.34
1769547469.259014,alice,0.22,28.11
1769547469.259014,bob,0.96,26.91
1769547469.259014,carol,0.19,28.02
1769547469.259014,dave,0.89,26.91
1769547469.259014,orchestrator,0.00,17.33
1769547472.336676,alice,0.43,28.23
1769547472.336676,bob,1.04,26.53
1769547472.336676,carol,0.41,27.95
1769547472.336676,dave,1.19,26.89
1769547472.336676,orchestrator,0.00,17.33
1769547475.4157667,alice,0.22,28.08
1769547475.4157667,bob,0.97,26.77
1769547475.4157667,carol,0.21,28.19
1769547475.4157667,dave,1.06,26.64
1769547475.4157667,orchestrator,0.00,17.33
1769547478.4966033,alice,0.40,28.13
1769547478.4966033,bob,1.00,26.55
1769547478.4966033,carol,0.18,28.39
1769547478.4966033,dave,0.96,26.89
1769547478.4966033,orchestrator,2.71,17.34
1769547481.5726595,alice,0.22,28.12
1769547481.5726595,bob,1.24,26.58
1769547481.5726595,carol,2.13,28.2
1769547481.5726595,dave,2.18,26.8
1769547481.5726595,orchestrator,0.28,17.34
1769547484.651071,alice,0.17,27.91
1769547484.651071,bob,0.86,26.85
1769547484.651071,carol,0.11,28.28
1769547484.651071,dave,0.63,26.84
1769547484.651071,orchestrator,0.44,17.34
1769547487.727465,alice,0.20,28.17
1769547487.727465,bob,1.03,26.59
1769547487.727465,carol,0.18,28.27
1769547487.727465,dave,0.89,26.84
1769547487.727465,orchestrator,0.00,17.34
1769547490.8050945,alice,0.23,27.9
1769547490.8050945,bob,0.96,26.96
1769547490.8050945,carol,0.17,28.18
1769547490.8050945,dave,0.88,26.84
1769547490.8050945,orchestrator,0.00,17.34
1769547493.8835804,alice,0.17,27.86
1769547493.8835804,bob,0.91,26.7
1769547493.8835804,carol,0.18,28.23
1769547493.8835804,dave,0.99,26.81
1769547493.8835804,orchestrator,0.00,17.34
1769547496.9629548,alice,0.15,27.89
1769547496.9629548,bob,0.81,26.79
1769547496.9629548,carol,0.19,28.03
1769547496.9629548,dave,0.96,26.82
1769547496.9629548,orchestrator,2.47,17.34
1769547500.0487716,alice,0.14,28.15
1769547500.0487716,bob,0.87,26.97
1769547500.0487716,carol,0.20,28.04
1769547500.0487716,dave,1.11,26.86
1769547500.0487716,orchestrator,0.00,17.34
1769547503.1353402,alice,0.22,28.38
1769547503.1353402,bob,0.97,26.89
1769547503.1353402,carol,0.18,28.11
1769547503.1353402,dave,0.97,26.67
1769547503.1353402,orchestrator,0.16,17.34
1769547506.219646,alice,0.12,28.08
1769547506.219646,bob,0.76,26.61
1769547506.219646,carol,0.24,28.12
1769547506.219646,dave,1.03,26.61
1769547506.219646,orchestrator,0.00,17.34
1769547509.3010333,alice,0.17,28.2
1769547509.3010333,bob,0.95,26.6
1769547509.3010333,carol,0.17,28.18
1769547509.3010333,dave,0.99,26.88
1769547509.3010333,orchestrator,0.00,17.34
1769547512.3795702,alice,0.38,28.02
1769547512.3795702,bob,1.17,26.94
1769547512.3795702,carol,0.35,28.32
1769547512.3795702,dave,1.05,26.85
1769547512.3795702,orchestrator,0.00,17.34
1769547515.4575117,alice,1.61,28.39
1769547515.4575117,bob,1.27,27.11
1769547515.4575117,carol,0.14,28.31
1769547515.4575117,dave,0.81,26.61
1769547515.4575117,orchestrator,0.00,17.34
1769547518.539872,alice,0.20,28.26
1769547518.539872,bob,0.65,26.9
1769547518.539872,carol,0.16,28.49
1769547518.539872,dave,0.84,26.86
1769547518.539872,orchestrator,0.00,17.34
1769547521.6184254,alice,0.21,28.17
1769547521.6184254,bob,0.95,26.98
1769547521.6184254,carol,0.11,28.75
1769547521.6184254,dave,0.60,26.87
1769547521.6184254,orchestrator,0.02,17.34
1769547524.6973302,alice,0.27,27.98
1769547524.6973302,bob,1.07,26.66
1769547524.6973302,carol,0.14,28.29
1769547524.6973302,dave,0.75,26.87
1769547524.6973302,orchestrator,0.00,17.34
